"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table1"	"142"	"zhang2019"	"Brain"	"Whole brain"	"GABA"	11	1.41	0.3	11	1.23	0.27	NA	-0.606704186666816	0.191897102213467	-1.46528721466327	0.251878841329642	11	11	4.60750005552976
"table1"	"107"	"huang2016"	"Brain"	"Whole brain"	"GABA"	15	0.11	0.009	17	0.107	0.023	NA	0.00916443627749537	0.00196209660891743	-0.0776532654047071	0.0959821379596978	30	34	11.3458684005818
"table1"	"15"	"liu2014"	"Brain"	"Whole brain"	"GABA"	12	242.4	50.92	12	266.9	60.96	NA	-0.0637954235362999	0.00355701089022589	-0.180689011296978	0.0530981642243779	24	24	11.2082240049037
"table1"	"225"	"bai2014"	"Brain"	"Whole brain"	"GABA"	15	0.104	0.022	15	0.098	0.008	NA	-0.611253419679484	0.00844940127338661	-0.791414533828001	-0.431092305530966	30	30	10.8060879202745
"table1"	"18"	"gueli2013"	"Brain"	"Whole brain"	"GABA"	13	0.9	0.28	13	0.6	0.16	NA	-1.27396874042017	0.190304043875435	-2.12898052277118	-0.418956958069155	13	13	4.63056634738905
"table1"	"17"	"aisa2010"	"Brain"	"Whole brain"	"GABA"	16	704.39	253.64	19	555.33	139.35	NA	-0.812817348460693	0.0110829088700863	-1.01915333184203	-0.606481365079359	32	38	10.6013441724256
"table1"	"130"	"garcia-alloza2006"	"Brain"	"Whole brain"	"GABA"	20	695.68	273.56	21	574.36	119.6	NA	-0.722248896473407	0.0075519819033671	-0.892573960678333	-0.551923832268482	40	42	10.877676992963
"table1"	"83"	"seidl2001"	"Brain"	"Whole brain"	"GABA"	7	1.4	0.6	8	0.8	0.2	NA	-0.999603750177078	0.0422354933408407	-1.40240135250428	-0.596806147849879	26	29	8.66030300574203
"table1"	"162"	"yew1999"	"Brain"	"Whole brain"	"GABA"	7	25.98	16.48	6	29.08	13.03	NA	0.114331464273008	0.0124075189710238	-0.10398704890022	0.332649977446237	21	18	10.5012664719061
"table1"	"198"	"sasaki1986"	"Brain"	"Whole brain"	"GABA"	10	13.69	2.8	9	11.1	3.33	NA	-0.341890230968552	0.00863158003007476	-0.523983227108046	-0.159797234829058	188	167	10.7916700361424
"table1"	"129"	"perry1984"	"Brain"	"Whole brain"	"GABA"	4	17.88	7	4	17.73	2.76	NA	-0.0244885853440957	0.500069820241873	-1.41048917045619	1.361511999768	4	4	2.34643062411787
"table1"	"112"	"tarbit1980"	"Brain"	"Whole brain"	"GABA"	7	1.15	0.52	8	0.94	0.25	NA	-0.496420186901236	0.278793276040163	-1.53129838717154	0.538458013369064	7	8	3.62306196802422
"table2"	"238"	"govindpani2020"	"Brain"	"Whole brain"	"GAD"	6	893.37	95.3341407891213	6	822.335	169.039287149467	NA	-0.887872686533718	0.0467354683677473	-1.31158529810028	-0.464160074967159	12	12	41.9278402398816
"table2"	"100"	"schwab2013"	"Brain"	"Whole brain"	"GAD"	4	9.38	2.08	6	7.02	1.67	NA	-1.35997558632861	0.113310013103826	-2.01972989613694	-0.700221276520288	58	68	27.189975280292
"table2"	"240"	"gleichmann2012"	"Brain"	"Whole brain"	"GAD"	10	100	22.13	10	73	44.27	NA	-0.738820683420704	0.216783509602752	-1.65138022950223	0.173738862660822	10	10	17.5835821565717
"table2"	"208"	"boissière1998"	"Brain"	"Whole brain"	"GAD"	9	0.142	0.03	5	0.143	0.038	NA	0.0284622388537184	0.311150556637497	-1.06482274245674	1.12174722016417	9	5	13.2986023232547
