"ID"	"study"	"estimate"	"se"	"zval"	"pval"	"ci.lb"	"ci.ub"	"Q"	"Qp"	"tau2"	"I2"	"H2"
"table1"	"zhang2019"	-0.446693822736543	0.124705744296907	-3.58198273267211	0.000340996336368879	-0.691112590223742	-0.202275055249345	147.940951134282	9.88216688624175e-27	0.128919940899169	93.2405463643915	14.7940951134282
"table1"	"huang2016"	-0.513516425711123	0.129830639813732	-3.95527917329733	7.6445331170635e-05	-0.76797980383583	-0.259053047586416	100.571574513576	4.18748024584756e-17	0.130122112064248	90.0568326106398	10.0571574513576
"table1"	"liu2014"	-0.508773034911117	0.14203747355745	-3.5819634225283	0.000341021548591612	-0.787161367538779	-0.230384702283455	138.395883397024	8.98133089797117e-25	0.162031030057657	92.7743515525585	13.8395883397024
"table1"	"bai2014"	-0.434738352533132	0.128449967487561	-3.38449562141955	0.000713091562905402	-0.686495662624092	-0.182981042442173	130.24403717002	4.16531300987825e-23	0.127713766569785	92.3221053206865	13.024403717002
"table1"	"gueli2013"	-0.413671660662713	0.122771904821981	-3.36943261784963	0.000753231051021141	-0.654300172427175	-0.173043148898251	142.963650155211	1.0400351532246e-25	0.124274259930085	93.0052149695791	14.2963650155211
"table1"	"aisa2010"	-0.40538006507651	0.120372133782908	-3.36772351155307	0.000757915633050336	-0.641305112033247	-0.169455018119774	116.321398578788	2.81716398131751e-20	0.10940385015418	91.4031294996624	11.6321398578788
"table1"	"garcia-alloza2006"	-0.416048769243758	0.121725375164841	-3.41792965255062	0.000630994137494803	-0.654626120571472	-0.177471417916044	113.741528133649	9.37048826340861e-20	0.111935752646098	91.2081364088499	11.3741528133649
"table1"	"seidl2001"	-0.400096915134514	0.123136608952293	-3.24921173758751	0.00115725303006894	-0.641440233859401	-0.158753596409627	134.550504181599	5.49719287403039e-24	0.118859155994899	92.5678465043109	13.4550504181599
"table1"	"yew1999"	-0.521085161853017	0.12940570477132	-4.02675571972545	5.65517306683423e-05	-0.774715682598829	-0.267454641107206	138.265696013138	9.54992425042104e-25	0.130554505498204	92.7675480698772	13.8265696013138
"table1"	"sasaki1986"	-0.471294322006051	0.135492656199122	-3.47837539854139	0.000504462906004251	-0.736855048325997	-0.205733595686105	147.198113815018	1.40454058400524e-26	0.145312769056436	93.2064346880376	14.7198113815018
"table1"	"perry1984"	-0.464503456453054	0.123302882887638	-3.76717433992474	0.000165105705419281	-0.706172666102784	-0.222834246803324	148.578897251819	7.30626341655348e-27	0.129047869479698	93.2695691077505	14.8578897251819
"table1"	"tarbit1980"	-0.452541825271684	0.124153334250767	-3.6450235348302	0.000267367333025932	-0.69587788896375	-0.209205761579619	148.419597169768	7.87860150576048e-27	0.129130461672224	93.2623452760342	14.8419597169768
"table2"	"govindpani2020"	-0.78524204141845	0.397082735240375	-1.97752753199683	0.0479820315883771	-1.56350990137224	-0.006974181464661	4.7509624646158	0.0929697384019835	0.273002084625983	57.9032666560599	2.3754812323079
"table2"	"schwab2013"	-0.725673817307189	0.221346205176887	-3.27845610331233	0.00104376596623657	-1.1595044075685	-0.291843227045877	2.34954858591342	0.308888690173616	0.0280181528032254	14.8772657015528	1.17477429295671
"table2"	"gleichmann2012"	-0.869350516113311	0.302805231283167	-2.87098909232629	0.00409189644239112	-1.46283786375864	-0.275863168467983	4.62097646551587	0.0992128007936287	0.153226724087247	56.7191043943842	2.31048823275793
"table2"	"boissière1998"	-0.987740143751831	0.169430044109987	-5.82978154164107	5.54999847150649e-09	-1.31981692810644	-0.655663359397225	1.72205567664505	0.422727363561473	0	0	1
"table3"	"govindpani2020"	-0.509848938309132	0.106127551864554	-4.80411475956619	1.55437663356874e-06	-0.717855117731065	-0.301842758887198	62.4498577217337	1.24265684599876e-09	0.0906811091047849	83.987153270135	6.24498577217337
"table3"	"kwakowsky2018"	-0.621700960897802	0.104301483836521	-5.96061472981761	2.51290799173488e-09	-0.826128112751471	-0.417273809044134	52.6932801241553	8.48887595365886e-08	0.0821970106832634	81.0222480429419	5.26932801241553
"table3"	"jansen1990"	-0.61516775870399	0.113365863798422	-5.42639325536154	5.75041887880694e-08	-0.83736076882517	-0.392974748582811	56.7876399773808	1.46110053357263e-08	0.101282882256857	82.3905342712197	5.67876399773808
"table3"	"cross1986"	-0.54250711988835	0.113117293606184	-4.79596976371339	1.61889700465437e-06	-0.764212941385114	-0.320801298391586	62.0128562804431	1.50474269666308e-09	0.101486026264167	83.8743115544031	6.20128562804431
"table3"	"rissman2004"	-0.497244486713064	0.102731455908154	-4.84023595613811	1.29685058259313e-06	-0.69859444037241	-0.295894533053718	59.5642642685629	4.38159212287027e-09	0.0849059525533305	83.2114101923393	5.95642642685629
"table3"	"howell2000"	-0.591441051661353	0.116780197435716	-5.06456629333002	4.09331177960569e-07	-0.820326032742833	-0.362556070579872	71.2194287792294	2.57682059319772e-11	0.11148094337296	85.9588876639286	7.12194287792294
"table3"	"ohyama1999"	-0.575497863214855	0.115983430241453	-4.96189724701871	6.9807924514594e-07	-0.802821209291517	-0.348174517138192	71.3522875913159	2.42871279241757e-11	0.110128447211682	85.9850323828762	7.13522875913159
"table3"	"soricelli1996"	-0.512793680385581	0.106565993661977	-4.81198234787865	1.49440555781675e-06	-0.72165918993978	-0.303928170831383	63.3638699501046	8.32272257726315e-10	0.0920156798065265	84.2181356538443	6.33638699501046
"table3"	"carlson1993"	-0.587333829011047	0.120737892044145	-4.86453605464887	1.14725593740567e-06	-0.823975748986857	-0.350691909035238	71.4720848734945	2.30245248628704e-11	0.119853568314921	86.0085234428239	7.14720848734945
"table3"	"shimohama1988"	-0.545556826630584	0.113154064533333	-4.82136305823882	1.42580585997564e-06	-0.767334717820238	-0.32377893544093	67.4094913431525	1.39895156409743e-10	0.103351052996024	85.1652937876443	6.74094913431525
"table3"	"cross1984"	-0.598087550697642	0.129913833834484	-4.60372489245164	4.15000596163119e-06	-0.852713986106753	-0.343461115288531	71.3863518408972	2.39212492542169e-11	0.142798282263563	85.9917200667607	7.13863518408972
"table3"	"owen1983"	-0.548397968759739	0.10979936910124	-4.99454571778178	5.89744204929381e-07	-0.76360077772339	-0.333195159796089	70.3002240120978	3.87964992803147e-11	0.102516379505864	85.7752942604008	7.03002240120978
"table4"	"lauterborn2021"	-0.267610864707264	0.270500750278628	-0.989316533989695	0.322508297036743	-0.797782593044437	0.262560863629909	50.5060158139671	6.23342231071129e-11	0.267609633362405	94.0601135297424	16.8353386046557
"table4"	"govindpani2020"	-0.705384142340448	0.307216206719215	-2.29605120730217	0.0216729536558269	-1.30751684297712	-0.103251441703773	40.1833133723583	9.74311537867638e-09	0.304435547216933	92.5342144581246	13.3944377907861
"table4"	"nagga1999"	-0.594357865951861	0.454085052196785	-1.3089130837416	0.190563794145635	-1.48434821417555	0.295632482271828	49.9335462523663	8.25381129546007e-11	0.725495451049841	93.9920149375374	16.6445154174554
"table4"	"simpson1988"	-0.377667126435983	0.339258431361431	-1.11321367878882	0.265616669245123	-1.04260143335594	0.287267180483976	43.8404324188826	1.63168435177726e-09	0.38059435456271	93.157001802957	14.6134774729609
"table4"	"hardy1987"	-0.203195645098731	0.263634626584926	-0.770747180409835	0.440856800619412	-0.719910018282851	0.313518728085389	34.7958960403738	1.34540831667275e-07	0.218037907352179	91.378293588074	11.5986320134579
