"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table27.1"	"185"	"ohyama1999"	"Brain"	"Frontal cortex"	"GABA A receptor"	5	4.59	0.75	5	4.21	1.65	"N/A"	-0.267655365503188	0.405703321623284	-1.51605137776639	0.980740646760017	5	5	24.0415528072621
"table27.1"	"193"	"soricelli1996"	"Brain"	"Frontal cortex"	"GABA A receptor"	5	70.3	11.9	6	58	15.2	"N/A"	-0.980052214345727	0.060325864068665	-1.46144532048931	-0.498659108202143	10	12	45.2427362221208
"table27.1"	"184"	"meyer1995"	"Brain"	"Frontal cortex"	"GABA A receptor"	6	5.5	1.5	13	5.8	1	"N/A"	0.245012540550473	0.245556372487709	-0.726221052912274	1.21624613401322	6	13	30.7157109706171
"table27.2"	"53"	"shimohama1988"	"Brain"	"Frontal cortex"	"GABA A receptor"	7	1300	285.74	7	903	82.01	"YES"	-1.76764313134366	0.437856179609573	-3.06456505781288	-0.470721204874443	7	7	38.9384932592467
"table27.2"	"210"	"cross1984"	"Brain"	"Frontal cortex"	"GABA A receptor"	14	214	41.15	12	186	41.56	"YES"	-0.655908609696726	0.164425987742318	-1.45066370465622	0.138846485262765	14	12	61.0615067407533
"table33.1"	"213"	"cross1986"	"Brain"	"Temporal cortex"	"GABA A receptor"	13	258	46.87	13	244	72.11	"YES"	-0.721792877262801	0.012977521375259	-0.945069866578169	-0.498515887947432	26	26	84.6642986393341
"table33.1"	"53"	"shimohama1988"	"Brain"	"Temporal cortex"	"GABA A receptor"	6	1099	142.07	7	911	126.99	"YES"	-1.30418439481001	0.401259876785982	-2.54572508809	-0.0626437015300263	6	7	2.73820735358321
"table33.1"	"210"	"cross1984"	"Brain"	"Temporal cortex"	"GABA A receptor"	13	196	43.26	14	172	67.34	"YES"	-0.407812895698836	0.151926985277804	-1.171763979013	0.356138187615331	13	14	7.2319788568449
"table33.1"	"S11"	"owen1983"	"Brain"	"Temporal cortex"	"GABA A receptor"	12	204.53	26.74	10	179.98	26.62	"N/A"	-0.884946384235558	0.204776748280092	-1.77187447937835	0.00198171090723209	12	10	5.36551515023781
"table33.2"	"185"	"ohyama1999"	"Brain"	"Temporal cortex"	"GABA A receptor"	5	4.84	0.63	5	3.89	1.61	"N/A"	-0.70148871997222	0.439175751782556	-2.00036345046784	0.597386010523401	5	5	26.8120362672009
"table33.2"	"193"	"soricelli1996"	"Brain"	"Temporal cortex"	"GABA A receptor"	5	65.7	9.1	6	52.7	6	"N/A"	-1.64107450232992	0.139081463130184	-2.37201616439091	-0.910132840268922	10	12	39.3726640694828
"table33.2"	"184"	"meyer1995"	"Brain"	"Temporal cortex"	"GABA A receptor"	6	5.7	1.7	13	5.5	1	"N/A"	-0.15314248674219	0.244358054816422	-1.12200336689073	0.815718393406349	6	13	33.8152996633163
