"ID"	"study"	"estimate"	"se"	"zval"	"pval"	"ci.lb"	"ci.ub"	"Q"	"Qp"	"tau2"	"I2"	"H2"
"table27.1"	"ohyama1999"	-0.443120129730612	0.607849084186025	-0.728996952136561	0.466003526865092	-1.63448244277088	0.748242183309652	4.90640996543222	0.0267571988298075	0.597450708566257	79.6184989219117	4.90640996543222
"table27.1"	"soricelli1996"	0.0517119686898855	0.391113481199261	0.132217300542345	0.894812417399807	-0.714856368328749	0.81828030570852	0.403569243228266	0.525251684087556	0	0	1
"table27.1"	"meyer1995"	-0.866259029444936	0.260992370411885	-3.31909713712263	0.000903090089048205	-1.37779467569197	-0.354723383197905	1.08900748241173	0.296691223319069	0.0207400422744151	8.17326637780441	1.08900748241173
"table27.2"	"shimohama1988"	-0.655908609696726	0.405494744407764	-1.61755144485214	0.105759300348861	-1.45066370465622	0.138846485262765	0	1	0	0	1
"table27.2"	"cross1984"	-1.76764313134366	0.661707019465241	-2.67133803835447	0.00755495214733276	-3.06456505781288	-0.470721204874443	0	1	0	0	1
"table33.1"	"cross1986"	-0.734796179600009	0.26766661860908	-2.74519169935478	0.00604755601401138	-1.25941311193743	-0.210179247262593	1.62180482675614	0.444456801433227	0	0	1
"table33.1"	"shimohama1988"	-0.707447120962186	0.106285715140557	-6.65608845014239	2.81211060241949e-11	-0.915763294708761	-0.499130947215611	0.760659710490221	0.683635871139102	0	0	1
"table33.1"	"cross1984"	-0.748419632032931	0.108829563585203	-6.87698826842202	6.11311424492068e-12	-0.961721657113141	-0.535117606952721	0.915417149754004	0.632731843296715	0	0	1
"table33.1"	"owen1983"	-0.714649732211564	0.107751003320897	-6.63241835515205	3.30231011177274e-11	-0.925837818018578	-0.503461646404551	1.48977942215345	0.474786660762051	0	0	1
"table33.2"	"ohyama1999"	-0.932485309667173	0.743124418724024	-1.25481720983989	0.209545123629569	-2.38898240639852	0.524011787064177	5.77390065287754	0.0162658916163576	0.915251082532176	82.6806857249677	5.77390065287754
"table33.2"	"soricelli1996"	-0.349172028550375	0.396234700842214	-0.881225263229582	0.378195908104222	-1.12577777162612	0.427433714525367	0.439895713415635	0.507172794343606	0	0	1
"table33.2"	"meyer1995"	-1.3309766035015	0.441817688668503	-3.01250184779301	0.00259103858679611	-2.19692336102449	-0.465029845978503	1.52669334621609	0.216609393679685	0.152282113747994	34.4989612695634	1.52669334621609
