"ID"	"SMD"	"CI_lower"	"CI_upper"	"pvalue"	"zvalue"	"I2"	"tau2"	"logLik"	"deviance"	"AIC"	"BIC"	"AICc"	"sum_sample_size_c"	"sum_sample_size_t"	"sum_indiv_size_c"	"sum_indiv_size_t"
"table7"	-0.35	-0.8	0.09	0.119	-1.559	25.78	0.08	-4.711	6.95	13.421	13.005	17.421	55	63	55	63
"table70"	-0.42	-1.05	0.21	0.187	-1.318	67.41	0.25	-4.692	10.017	13.383	12.156	25.383	101	151	101	151
"table71"	-0.56	-1.31	0.19	0.146	-1.454	0	0	-0.741	0.265	5.482	2.868	17.482	14	15	14	15
"table72"	-1.18	-2.52	0.16	0.084	-1.727	37.44	0.4	-2.339	2.191	8.678	6.064	20.678	11	12	11	12
"table73"	0.36	-0.24	0.96	0.24	1.174	67.05	0.13	-0.69	3.529	5.38	2.767	17.38	47	42	29	24
"table74"	-1.71	-2.59	-0.84	0	-3.837	0	0	-0.941	0.045	5.882	3.268	17.882	14	16	14	16
"table75"	-0.28	-1.02	0.45	0.449	-0.756	0	0	-1.027	0.909	6.054	3.441	18.054	16	14	16	14
"table76"	-0.44	-0.82	-0.06	0.024	-2.256	73.04	0.08	-0.467	5.883	4.935	3.132	16.935	55	48	39	34
"table77"	-1.11	-2.5	0.28	0.117	-1.566	80.95	1.2	-4.202	6.877	12.404	10.601	24.404	38	32	38	32
"table78"	-0.1	-0.64	0.45	0.731	-0.344	0	0	-0.325	0.356	4.65	2.036	16.65	29	24	29	24
"table8"	-0.71	-1.55	0.12	0.095	-1.671	45.62	0.25	-2.873	3.888	9.746	7.943	21.746	24	23	24	23
"table9"	-0.39	-1.45	0.66	0.466	-0.729	76.67	0.45	-1.808	4.235	7.615	5.001	19.615	42	46	42	46
