"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table17"	"238"	"govindpani2020"	"Brain"	"Medial temporal gyrus"	"GAD"	6	893.37	95.3341407891213	6	822.335	169.039287149467	"YES"	-0.887872686533718	0.0467354683677473	-1.31158529810028	-0.464160074967159	12	12	38.2793873537512
"table17"	"100"	"schwab2013"	"Brain"	"Medial temporal gyrus"	"GAD"	9	43.44	27.96	10	9.075	12.67	"N/A"	-1.63291227246445	0.0757240421230559	-2.17225519635632	-1.09356934857258	18	20	35.4717788531999
"table17"	"S5"	"davies1979"	"Brain"	"Medial temporal gyrus"	"GAD"	14	0.53	0.411	7	0.49	0.264	"YES"	-0.103514764558912	0.214596105056782	-1.01145865085199	0.804429121734166	14	7	26.2488337930489
"table18"	"240"	"gleichmann2012"	"Brain"	"Parietal cortex"	"GAD"	10	100	22.13	10	73	44.27	"YES"	-0.738820683420704	0.216783509602752	-1.65138022950223	0.173738862660822	10	10	49.9349787081306
"table18"	"S5"	"davies1979"	"Brain"	"Parietal cortex"	"GAD"	14	0.36	0.26	7	0.29	0.26	"YES"	-0.258437402710376	0.21622042010487	-1.16981100339565	0.652936197974898	14	7	50.0650212918694
"table19"	"100"	"schwab2013"	"Brain"	"Putamen"	"GAD"	6	0.169	0.017	6	0.13	0.0105	"N/A"	-2.54705972824049	0.725417663315541	-4.21638955827134	-0.87772989820965	6	6	49.6203036459918
"table19"	"208"	"boissière1998"	"Brain"	"Putamen"	"GAD"	9	0.078	0.0135	5	0.118	0.022	"YES"	2.22609425930957	0.552405230326639	0.769371243552684	3.68281727506646	9	5	50.3796963540082
"table2"	"83"	"seidl2001"	"Brain"	"Caudate  "	"GABA"	4	3.9	1.3	5	2	0.7	"N/A"	-1.68398085220046	0.718223943010213	-3.34501297142943	-0.0229487329714841	4	5	47.5823210802866
"table2"	"198"	"sasaki1986"	"Brain"	"Caudate  "	"GABA"	9	19.25	3.07	9	25.33	5.41	"N/A"	1.31630068015141	0.28296005504939	0.273717638195724	2.3588837221071	9	9	52.4176789197134
"table20"	"100"	"schwab2013"	"Brain"	"Striatum"	"GAD"	6	0.169	0.017	6	0.13	0.0105	"N/A"	-2.54705972824049	0.725417663315541	-4.21638955827134	-0.87772989820965	6	6	27.0906527491051
"table20"	"208"	"boissière1998"	"Brain"	"Striatum"	"GAD"	9	0.142	0.03	5	0.143	0.038	"YES"	0.0284622388537184	0.311150556637497	-1.06482274245674	1.12174722016417	9	5	35.1457150651193
