"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table10"	"135"	"simpson1988"	"Brain"	"Cortical region"	"GABA transporters"	8	116	56.56	6	129	154.31	NA	-0.566416193018887	0.0218747846564527	-0.856297348786755	-0.27653503725102	16	12	23.3015836360949
"table10"	"11"	"hardy1987"	"Brain"	"Cortical region"	"GABA transporters"	7	24.31	13.57	8	1.8	3.56	NA	-2.06733041074384	0.151390405668114	-2.8299312297981	-1.30472959168957	28	32	17.3455201895867
"table11"	"99"	"nagga1999"	"Brain"	"Subcortical region"	"GABA transporters"	23	746.47	343.75	18	699.54	245.69	NA	-0.150932980410978	0.099339556934806	-0.768677925538866	0.466811964716909	23	18	9.06652205837141
"table11"	"135"	"simpson1988"	"Brain"	"Subcortical region"	"GABA transporters"	9	239	135	8	131	90.5096679918781	NA	-0.641652142208184	0.0190537818444548	-0.912196627152828	-0.371107657263541	25	21	43.5708285294697
"table11"	"11"	"hardy1987"	"Brain"	"Subcortical region"	"GABA transporters"	7	7.69	8.12	8	2.97	4.04	NA	-0.503078213729506	0.0173648277328805	-0.76135378490167	-0.244802642557342	28	32	47.3626494121589
"table2"	"107"	"huang2016"	"Brain"	"Subcortical region"	"GABA"	15	0.102	0.024	17	0.107	0.029	NA	0.181972052138721	0.126076142797117	-0.513956328391255	0.877900432668697	15	17	9.5032935746375
"table2"	"15"	"liu2014"	"Brain"	"Subcortical region"	"GABA"	12	367.15	64.43	12	330.4	62.7	NA	-0.558122033026163	0.174354478827487	-1.37652019444845	0.260276128396121	12	12	7.12216698694286
"table2"	"83"	"seidl2001"	"Brain"	"Subcortical region"	"GABA"	4	3.9	1.3	5	2	0.7	NA	-0.642287258248654	0.0479184956726985	-1.07132913018691	-0.2132453863104	11	13	20.7151539790423
"table2"	"162"	"yew1999"	"Brain"	"Subcortical region"	"GABA"	7	21.2	16.48	6	21.26	7.74	NA	0.00421343801022486	0.309524767016212	-1.08621154633199	1.09463842235244	7	6	4.18577843809765
"table2"	"198"	"sasaki1986"	"Brain"	"Subcortical region"	"GABA"	10	23.7	6.61	8	17.01	5.82	NA	-0.180307984628243	0.00715308248113052	-0.346073698188953	-0.0145422710675326	118	105	53.8548912931396
"table2"	"112"	"tarbit1980"	"Brain"	"Subcortical region"	"GABA"	7	1.15	0.52	8	0.94	0.25	NA	-0.496420186901236	0.278793276040163	-1.53129838717154	0.538458013369064	7	8	4.61871572814011
"table3"	"15"	"liu2014"	"Brain"	"Cerebellum"	"GABA"	12	347.5	50.92	12	299.5	50.92	NA	-0.91008703106737	0.187108049865882	-1.75788881720619	-0.0622852449285533	12	12	71.9202920959257
"table3"	"83"	"seidl2001"	"Brain"	"Cerebellum"	"GABA"	5	1.8	0.5	8	1.1	0.3	NA	-1.69108236433583	0.479238090575033	-3.0479071099283	-0.334257618743363	5	8	28.0797079040743
"table4"	"238"	"govindpani2020"	"Brain"	"Cortical region"	"GAD"	6	893.37	95.3341407891213	6	822.335	169.039287149467	NA	-0.887872686533718	0.0467354683677473	-1.31158529810028	-0.464160074967159	12	12	55.1717551577048
"table4"	"100"	"schwab2013"	"Brain"	"Cortical region"	"GAD"	4	9.38	2.08	6	7.02	1.67	NA	-1.53716073810596	0.138976490072056	-2.26782650551018	-0.806494970701729	26	32	26.4494869280993
"table4"	"240"	"gleichmann2012"	"Brain"	"Cortical region"	"GAD"	10	100	22.13	10	73	44.27	NA	-0.738820683420704	0.216783509602752	-1.65138022950223	0.173738862660822	10	10	18.3787579141959
"table5"	"100"	"schwab2013"	"Brain"	"Subcortical region"	"GAD"	5	10.72	3.72	6	6.64	1.16	NA	-1.2142934069587	0.0836897793113655	-1.78129503035813	-0.647291783559272	32	36	57.3638516999691
"table5"	"208"	"boissière1998"	"Brain"	"Subcortical region"	"GAD"	9	0.142	0.03	5	0.143	0.038	NA	0.0284622388537184	0.311150556637497	-1.06482274245674	1.12174722016417	9	5	42.6361483000309
"table6"	"100"	"schwab2013"	"Brain"	"Cerebellum"	"GAD"	4	16.58	7.47	4	12.76	3.9	NA	-0.68749060452131	0.0607902082065672	-1.17073286418715	-0.204248344855467	8	8	48.9825029372663
"table6"	"106"	"burbaeva2014"	"Brain"	"Cerebellum"	"GAD"	13	160.93	85.17	13	47.48	27.11	NA	-1.5123609701649	0.0469438818831591	-1.93701728901308	-1.08770465131672	26	26	51.0174970627337
"table7"	"238"	"govindpani2020"	"Brain"	"Cortical region"	"GABA A receptor"	6	2202.48	351.685489820095	6	951.12	325.145268457039	NA	-1.20122245970246	0.0740111971261229	-1.73443064233873	-0.668014277066183	96	96	8.41133092302002
"table7"	"96"	"kwakowsky2018"	"Brain"	"Cortical region"	"GABA A receptor"	6	106017241	47722817.1068718	6	5832241	7820735.74973762	NA	-0.332057428263087	0.0184831445415845	-0.598519880840245	-0.0655949756859284	96	96	13.3413967115088
"table7"	"20"	"jansen1990"	"Brain"	"Cortical region"	"GABA A receptor"	9	135	30	8	81	22.62	NA	-1.91146540856857	0.373837480052315	-3.10983149839798	-0.713099318739165	9	8	2.80817441834247
"table7"	"213"	"cross1986"	"Brain"	"Cortical region"	"GABA A receptor"	13	258	46.87	13	244	72.11	NA	-0.721792877262801	0.012977521375259	-0.945069866578169	-0.498515887947432	26	26	14.1645582493717
"table7"	"185"	"ohyama1999"	"Brain"	"Cortical region"	"GABA A receptor"	5	4.59	0.75	5	4.21	1.65	NA	-0.45647841781751	0.0304186272966589	-0.798314495700107	-0.114642339934912	20	20	11.8486552201577
"table7"	"193"	"soricelli1996"	"Brain"	"Cortical region"	"GABA A receptor"	5	70.3	11.9	6	58	15.2	NA	-1.20222400652624	0.0823640558424853	-1.76471678765704	-0.639731225395445	35	42	7.96839107746183
"table7"	"166"	"carlson1993"	"Brain"	"Cortical region"	"GABA A receptor"	8	0.1825	0.004242640687119	8	0.23	0.048083261120685	NA	-0.409236813556977	0.0130460865490709	-0.633102854415047	-0.185370772698906	152	152	14.1536827219908
"table7"	"53"	"shimohama1988"	"Brain"	"Cortical region"	"GABA A receptor"	7	1300	285.74	7	903	82.01	NA	-1.5258073682944	0.093350086101992	-2.12463999237984	-0.926974744208963	13	14	7.45224480135609
"table7"	"210"	"cross1984"	"Brain"	"Cortical region"	"GABA A receptor"	13	196	43.26	14	172	67.34	NA	-0.423238133239303	0.00606448455147293	-0.5758699375044	-0.270606328974206	34	33	15.35407278732
"table7"	"S11"	"owen1983"	"Brain"	"Cortical region"	"GABA A receptor"	12	204.53	26.74	10	179.98	26.62	NA	-0.884946384235558	0.204776748280092	-1.77187447937835	0.00198171090723209	12	10	4.49749308947062
"table8"	"96"	"kwakowsky2018"	"Brain"	"Subcortical region"	"GABA A receptor"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	NA	0.170922882764398	0.0151061652160761	-0.0699706862991161	0.411816451827913	624	624	18.8901768113602
"table8"	"20"	"jansen1990"	"Brain"	"Subcortical region"	"GABA A receptor"	9	276	78	8	300	107.48	NA	0.288710041932604	0.00939601763011285	0.0987247403837877	0.478695343481419	27	24	19.4062590560986
"table8"	"212"	"rissman2004"	"Brain"	"Subcortical region"	"GABA A receptor"	6	0.12	0.073484692283495	6	0.07	0.019595917942266	NA	-1.54956263248684	0.113936570222203	-2.21113851073492	-0.887986754238759	60	60	12.9360130026895
"table8"	"79"	"howell2000"	"Brain"	"Subcortical region"	"GABA A receptor"	5	162	42.485291572496	5	148	53.665631459995	NA	-0.309328395363902	0.0247842028089203	-0.617885512433333	-0.000771278294469935	25	25	18.075460457161
"table8"	"53"	"shimohama1988"	"Brain"	"Subcortical region"	"GABA A receptor"	7	1235	275.15	7	793	50.26	NA	-0.446199481083415	0.0173145808083355	-0.704101108012757	-0.188297854154073	35	28	18.697866478746
"table8"	"210"	"cross1984"	"Brain"	"Subcortical region"	"GABA A receptor"	17	154	53.6	13	135	39.66	NA	-0.384136691913905	0.138556521123507	-1.11369763538236	0.345424251554553	17	13	11.9942241939447
