"ID"	"Std_Eff"	"coefficient"	"std_error"	"zvalue"	"pvalue"	"CI_low"	"CI_high"
"table1"	"intercept"	-0.63068870163041	0.299799217408028	-2.1037036289926	0.0354043077113458	-1.21828437034344	-0.0430930329173819
"table1"	"slope_bias"	0.421737172420272	1.02055989331949	0.413240981916821	0.679430065123577	-1.57852346255197	2.42199780739251
"table10"	"intercept"	0.329899962831442	0.511853659713625	0.644520082196962	0.519238239461173	-0.673314775562284	1.33311470122517
"table10"	"slope_bias"	-3.88811293703679	1.72339402420524	-2.25607892474261	0.0240656887549058	-7.2659031556506	-0.510322718422976
"table11"	"intercept"	-0.868439301057957	0.287886343693964	-3.01660471252206	0.00255622912280556	-1.43268616633905	-0.304192435776868
"table11"	"slope_bias"	2.23068211581435	1.8217934795063	1.22444291348483	0.220785189081793	-1.3399674912879	5.8013317229166
"table2"	"intercept"	-0.27725246616095	0.266188765645173	-1.04156336383679	0.297614161633327	-0.798972859914661	0.244467927592761
"table2"	"slope_bias"	-0.0502445434675681	0.909629502546372	-0.0552362729297104	0.955950231415138	-1.83308560773354	1.73259652079841
"table3"	NA	NA	NA	NA	NA	NA	NA
"table4"	"intercept"	-0.944322266294063	1.09884633326867	-0.859376090817949	0.390133056275668	-3.09802150404455	1.20937697145642
"table4"	"slope_bias"	-0.332314527987156	3.17859893614345	-0.104547486066408	0.916734886286234	-6.56225396412564	5.89762490815133
"table5"	NA	NA	NA	NA	NA	NA	NA
"table6"	NA	NA	NA	NA	NA	NA	NA
"table7"	"intercept"	-0.160377333809943	0.14099542353091	-1.13746481831578	0.255344023911248	-0.436723285915498	0.115968618295612
"table7"	"slope_bias"	-2.97899700573993	0.750055791007044	-3.97170056075462	7.13613846916283e-05	-4.44907934250943	-1.50891466897042
"table8"	"intercept"	0.464205874993769	0.311293984151534	1.49121376777972	0.13590538013781	-0.145919122547219	1.07433087253476
"table8"	"slope_bias"	-4.15747472354506	1.58939815054338	-2.61575409668353	0.00890306499892879	-7.27263785570465	-1.04231159138547
