"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table1"	"142"	"zhang2019"	"Brain"	"Whole brain"	"GABA"	11	1.41	0.3	11	1.23	0.27	NA	-0.606704186666816	0.191897102213467	-1.46528721466327	0.251878841329642	11	11	4.98354232799969
"table1"	"15"	"liu2014"	"Brain"	"Whole brain"	"GABA"	12	242.4	50.92	12	266.9	60.96	NA	-0.0637954235362999	0.00355701089022589	-0.180689011296978	0.0530981642243779	24	24	11.0686916012362
"table1"	"18"	"gueli2013"	"Brain"	"Whole brain"	"GABA"	13	0.9	0.28	13	0.6	0.16	NA	-1.27396874042017	0.190304043875435	-2.12898052277118	-0.418956958069155	13	13	5.00682464691956
"table1"	"17"	"aisa2010"	"Brain"	"Whole brain"	"GABA"	16	704.39	253.64	19	555.33	139.35	NA	-0.812817348460693	0.0110829088700863	-1.01915333184203	-0.606481365079359	32	38	10.5537528735851
"table1"	"130"	"garcia-alloza2006"	"Brain"	"Whole brain"	"GABA"	20	695.68	273.56	21	574.36	119.6	NA	-0.722248896473407	0.0075519819033671	-0.892573960678333	-0.551923832268482	40	42	10.7892474059685
"table1"	"83"	"seidl2001"	"Brain"	"Whole brain"	"GABA"	7	1.4	0.6	8	0.8	0.2	NA	-0.999603750177078	0.0422354933408407	-1.40240135250428	-0.596806147849879	26	29	8.84956672181141
"table1"	"162"	"yew1999"	"Brain"	"Whole brain"	"GABA"	7	25.98	16.48	6	29.08	13.03	NA	0.114331464273008	0.0124075189710238	-0.10398704890022	0.332649977446237	21	18	10.4680383708454
"table1"	"198"	"sasaki1986"	"Brain"	"Whole brain"	"GABA"	10	13.69	2.8	9	11.1	3.33	NA	-0.341890230968552	0.00863158003007476	-0.523983227108046	-0.159797234829058	188	167	10.7161359370798
"table1"	"129"	"perry1984"	"Brain"	"Whole brain"	"GABA"	4	17.88	7	4	17.73	2.76	NA	-0.0244885853440957	0.500069820241873	-1.41048917045619	1.361511999768	4	4	2.62353536588808
"table1"	"112"	"tarbit1980"	"Brain"	"Whole brain"	"GABA"	7	1.15	0.52	8	0.94	0.25	NA	-0.496420186901236	0.278793276040163	-1.53129838717154	0.538458013369064	7	8	3.97522997998811
"table1"	"200"	"mohanakrishnan1997"	"Brain"	"Whole brain"	"GABA"	4	1.42	0.56	12	0.89	0.18	NA	-1.64588860251701	0.443762736237052	-2.95152878166791	-0.340248423366112	4	12	2.87203998330716
"table1"	"28"	"mohanakrishnan1995"	"Brain"	"Whole brain"	"GABA"	4	1.48	0.14	13	0.79	0.252	NA	-2.79919421948469	0.62228212311091	-4.34530907640337	-1.253079362566	4	13	2.20873471529794
"table1"	"207"	"cross1984"	"Brain"	"Whole brain"	"GABA"	13	54.8	34.25	12	40	19.74	NA	-0.506485087076109	0.166289813351125	-1.30573190145153	0.292761727299312	13	12	5.38614215547086
"table1"	"22"	"smith1983"	"Brain"	"Whole brain"	"GABA"	6	60	24	7	65	21	NA	-0.0275799002985568	0.0119340177086265	-0.241692108248321	0.186532307651207	12	14	10.4985179146022
"table3"	"238"	"govindpani2020"	"Brain"	"Whole brain"	"GABA A receptor"	6	2202.48	351.685489820095	6	951.12	325.145268457039	NA	-1.20122245970246	0.0740111971261229	-1.73443064233873	-0.668014277066183	96	96	6.81283835754367
"table3"	"96"	"kwakowsky2018"	"Brain"	"Whole brain"	"GABA A receptor"	6	106017241	47722817.1068718	6	5832241	7820735.74973762	NA	0.102109057409863	0.014323316372436	-0.13245954667109	0.336677661490816	720	720	11.3420422265446
"table3"	"20"	"jansen1990"	"Brain"	"Whole brain"	"GABA A receptor"	9	276	78	8	300	107.48	NA	-0.0981785643507279	0.00722794534144356	-0.264809457006872	0.0684523283054161	36	32	12.3152996360653
"table3"	"213"	"cross1986"	"Brain"	"Whole brain"	"GABA A receptor"	13	258	46.87	13	244	72.11	NA	-0.721792877262801	0.012977521375259	-0.945069866578169	-0.498515887947432	26	26	11.5146406901217
"table3"	"79"	"howell2000"	"Brain"	"Whole brain"	"GABA A receptor"	5	162	42.485291572496	5	148	53.665631459995	NA	-0.309328395363902	0.0247842028089203	-0.617885512433333	-0.000771278294469935	25	25	10.1584464461715
"table3"	"166"	"carlson1993"	"Brain"	"Whole brain"	"GABA A receptor"	8	0.1825	0.004242640687119	8	0.23	0.048083261120685	NA	-0.409236813556977	0.0130460865490709	-0.633102854415047	-0.185370772698906	152	152	11.5057202938117
"table3"	"53"	"shimohama1988"	"Brain"	"Whole brain"	"GABA A receptor"	7	1300	285.74	7	903	82.01	NA	-0.727079256329851	0.0290842332392663	-1.06133347742527	-0.392825035234433	48	42	9.74061458858105
"table3"	"210"	"cross1984"	"Brain"	"Whole brain"	"GABA A receptor"	17	154	53.6	13	135	39.66	NA	-0.411167630906436	0.00508009045066754	-0.550863580280928	-0.271471681531943	51	46	12.643728600173
"table3"	"S11"	"owen1983"	"Brain"	"Whole brain"	"GABA A receptor"	12	204.53	26.74	10	179.98	26.62	NA	-0.884946384235558	0.204776748280092	-1.77187447937835	0.00198171090723209	12	10	3.63378808553066
"table3"	"10"	"griffiths1994"	"Brain"	"Whole brain"	"GABA A receptor"	9	80	8	5	76	4	NA	-0.579191876842036	0.023091940761104	-0.877028643416764	-0.281355110267308	36	20	10.3328810754569
