TABLE ID	ID	STUDY	SAMPLE 	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t	Notes
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	99145299	172658785,46585	6	109700854,5	56554949,6208943	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	68671098	55997034,2411601	6	55712716,5	79081705,3105524	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	155803030	25200423,9584456	6	170878787,5	59574559,3260551	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	89465254	91480138,1227237	6	256618644	25198606,4370565	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	314277777,5	73348608,4313453	6	306444444	151868364,052557	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	171055555,5	28305214,6694117	6	137944444	32115531,9109917	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	113333333,3	67360967,9265374	6	46666666,67	14288690,1654187	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	247333333	88181630,7401944	6	124833333	34701104,2811801	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	200666666,5	16738179,0925218	6	225666666,5	133088941,874723	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	102750000	70218705,5515361	6	38500000	25719642,2992234	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	217833333	70626953,4337517	6	190833333	84915644,0082352	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	455666666,5	78383671,7690617	6	353166666,5	177588006,35178	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	18878571	3884190,178	6	18614285,5	2327015,256	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7050000	1907101,679	6	6657142,5	3166839,96	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	8878571	2746927,608	6	3635714	2449489,743	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	22370689,5	1545711,31	6	21389655	10667949,14	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	5050000	3370159,856	6	6612068,5	2947833,532	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7320689,5	5984355,739	6	10881034	9422088,444	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	3631609	1983523,309	6	15508620,5	3930445,118	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	1389655	544799,5869	6	6525862	2228472,283	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	2241954	912223,0483	6	11282183,5	6544642,225	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	9410144,5	2644738,57	6	19994927,5	7946640,747	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	20439855	7579217,286	6	15108695,5	3489634,943	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	7273188	2167265,658	6	17073188	3857058,405	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	149719101	43760546,99	6	119674157	116584702,5	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	25644736,5	472063,2137	6	18260526	4573668,877	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	4831140	1929254,864	6	10086315,5	1781702,501	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	14105263	2323576,172	6	16307894,5	5585695,16	
table3	96	kwakowsky2018	Brain	Whole brain	GABA A receptor	6	20884782,5	4297788,971	6	23416666,5	269443,8717	
