"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table1.1"	"142"	"zhang2019"	"Brain"	"Whole brain"	"GABA"	11	1.41	0.3	11	1.23	0.27	NA	-0.606704186666816	0.191897102213467	-1.46528721466327	0.251878841329642	11	11	6.54267328324796
"table1.1"	"15"	"liu2014"	"Brain"	"Whole brain"	"GABA"	12	242.4	50.92	12	266.9	60.96	NA	-0.0637954235362999	0.00355701089022589	-0.180689011296978	0.0530981642243779	24	24	25.861030207333
"table1.1"	"198"	"sasaki1986"	"Brain"	"Whole brain"	"GABA"	10	13.69	2.8	9	11.1	3.33	NA	-0.341890230968552	0.00863158003007476	-0.523983227108046	-0.159797234829058	188	167	23.9552530700843
"table1.1"	"129"	"perry1984"	"Brain"	"Whole brain"	"GABA"	4	17.88	7	4	17.73	2.76	NA	-0.0244885853440957	0.500069820241873	-1.41048917045619	1.361511999768	4	4	2.94410752320887
"table1.1"	"112"	"tarbit1980"	"Brain"	"Whole brain"	"GABA"	7	1.15	0.52	8	0.94	0.25	NA	-0.496420186901236	0.278793276040163	-1.53129838717154	0.538458013369064	7	8	4.86569590328733
"table1.1"	"200"	"mohanakrishnan1997"	"Brain"	"Whole brain"	"GABA"	4	1.42	0.56	12	0.89	0.18	NA	-1.64588860251701	0.443762736237052	-2.95152878166791	-0.340248423366112	4	12	3.27302957219511
"table1.1"	"28"	"mohanakrishnan1995"	"Brain"	"Whole brain"	"GABA"	4	1.48	0.14	13	0.79	0.252	NA	-2.79919421948469	0.62228212311091	-4.34530907640337	-1.253079362566	4	13	2.41692787193566
"table1.1"	"207"	"cross1984"	"Brain"	"Whole brain"	"GABA"	13	54.8	34.25	12	40	19.74	NA	-0.506485087076109	0.166289813351125	-1.30573190145153	0.292761727299312	13	12	7.28230220615467
"table1.1"	"22"	"smith1983"	"Brain"	"Whole brain"	"GABA"	6	60	24	7	65	21	NA	-0.0275799002985568	0.0119340177086265	-0.241692108248321	0.186532307651207	12	14	22.8589803625531
"table1.2"	"107"	"huang2016"	"Brain"	"Whole brain"	"GABA"	15	0.11	0.009	17	0.107	0.023	NA	0.00916443627749537	0.00196209660891743	-0.0776532654047071	0.0959821379596978	30	34	50.8426858887943
