"ID"	"Std_Eff"	"coefficient"	"std_error"	"zvalue"	"pvalue"	"CI_low"	"CI_high"
"table1.1"	"intercept"	0.00946222926576494	0.129194890675306	0.0732399649576353	0.94161516432936	-0.243755103444425	0.262679561975954
"table1.1"	"slope_bias"	-1.64801592654613	0.542348950661511	-3.03866343713954	0.00237630168581249	-2.71100033689578	-0.585031516196478
"table1.2"	NA	NA	NA	NA	NA	NA	NA
"table1.3"	"intercept"	-0.286655451265314	0.408348365972203	-0.701987506630128	0.482686954758528	-1.08700354171661	0.513692639185986
"table1.3"	"slope_bias"	-2.39941765095748	2.05323430384305	-1.16860391747131	0.242563249176544	-6.42368293831203	1.62484763639708
"table3.1"	"intercept"	-0.0835983648528136	0.201247381682627	-0.415401006233466	0.677848370177719	-0.478035984933748	0.310839255228121
"table3.1"	"slope_bias"	-2.62863866097665	1.25722414369776	-2.09082737883578	0.0365435408712116	-5.09275270311847	-0.16452461883483
"table3.2"	"intercept"	0.395170877877839	0.132964817489859	2.97199579060061	0.00295870740532216	0.134564624386774	0.655777131368904
"table3.2"	"slope_bias"	-5.45770617491804	0.958072291832438	-5.69654943728669	1.22256452685721e-08	-7.33549336149536	-3.57991898834071
