"ID"	"study"	"estimate"	"se"	"zval"	"pval"	"ci.lb"	"ci.ub"	"Q"	"Qp"	"tau2"	"I2"	"H2"
"table1.1"	"zhang2019"	-0.310031459079261	0.13379233219439	-2.31725879947148	0.020489638208321	-0.572259611587884	-0.047803306570638	25.1532985894325	0.000712745765779869	0.0614004647772068	72.1706480161577	3.59332836991892
"table1.1"	"liu2014"	-0.489288247813182	0.181000178448606	-2.70324732277605	0.00686656328367274	-0.844042078767772	-0.134534416858591	21.292279069982	0.00336080924408951	0.112422132236814	67.1242332631802	3.04175415285457
"table1.1"	"sasaki1986"	-0.370435895167821	0.164521853498953	-2.25159082085212	0.0243481416659152	-0.692892802695545	-0.0479789876400974	20.7967225986849	0.00408295303884424	0.0850635104162397	66.3408502624223	2.97096037124069
"table1.1"	"perry1984"	-0.343569646776923	0.133243487588107	-2.57850986187778	0.00992274673417713	-0.604722083624122	-0.0824172099297241	26.2106844666008	0.000461818137841841	0.064012381635806	73.2933338352159	3.74438349522868
"table1.1"	"tarbit1980"	-0.323856012227225	0.133961225277182	-2.41753545891453	0.0156260114429841	-0.586415189095359	-0.0612968353590921	25.8140404089592	0.000543685406400803	0.063154703016823	72.8829741911672	3.68772005842275
"table1.1"	"mohanakrishnan1997"	-0.265406716414186	0.119836500715211	-2.21474020711703	0.0267779014081476	-0.500281941849308	-0.030531490979064	21.18981809009	0.0034991368341238	0.0473378972195727	66.9652661941739	3.02711687001285
"table1.1"	"mohanakrishnan1995"	-0.220712174574375	0.0975762435035521	-2.26194580411717	0.0237007519324748	-0.411958097588047	-0.0294662515607024	14.9437421128527	0.0367273482101383	0.0264214174526436	53.1576498902542	2.13482030183611
"table1.1"	"cross1984"	-0.317796915714	0.135385495725206	-2.34734831830905	0.0189075698646739	-0.583147611364506	-0.052446220063494	25.4773197092905	0.000624234390131759	0.0627317583333667	72.5245823349016	3.63961710132721
"table1.1"	"smith1983"	-0.464086149696103	0.166896997786974	-2.78067404357062	0.00542461734067081	-0.791198254486434	-0.136974044905772	24.6918553426733	0.000860367557610395	0.0902293199468969	71.6505709965732	3.52740790609618
"table1.2"	"huang2016"	-0.611253419679484	0.0919206248531123	-6.64979617638867	2.93499177579943e-11	-0.791414533828001	-0.431092305530966	0	1	0	0	1
