"ID"	"study"	"estimate"	"se"	"zval"	"pval"	"ci.lb"	"ci.ub"	"Q"	"Qp"	"tau2"	"I2"	"H2"
"table1"	"zhang2019"	-0.478709644754957	0.113672063389958	-4.21132185410164	2.53880722887652e-05	-0.701502795047629	-0.255916494462286	166.956832463962	2.81752866936061e-28	0.129886321246281	91.6145989395062	11.9254880331401
"table1"	"huang2016"	-0.538515558781958	0.119662110305317	-4.50030136864495	6.78571878247187e-06	-0.773048985294438	-0.303982132269479	123.52787190856	1.27913501155e-19	0.137207875032996	88.6665253892147	8.82341942204001
"table1"	"liu2014"	-0.540806518045329	0.12699797628811	-4.25838689601197	2.05907354618489e-05	-0.789717977679497	-0.29189505841116	158.269327694701	1.58084974202254e-26	0.159685439581729	91.1543189044148	11.3049519781929
"table1"	"bai2014"	-0.47007667232785	0.116237870180266	-4.04409227043509	5.25262313849882e-05	-0.697898711520814	-0.242254633134887	148.83299204649	1.23020679426957e-24	0.128240803540611	90.5934834692923	10.6309280033207
"table1"	"gueli2013"	-0.449817871286231	0.112142618876373	-4.01112329811124	6.04305386178296e-05	-0.669613365415924	-0.230022377156537	161.940272306286	2.8888125678402e-27	0.125631921204675	91.3548373109309	11.5671623075919
"table1"	"aisa2010"	-0.439988779629217	0.109998476294467	-3.99995340345773	6.33549568801592e-05	-0.655581831520655	-0.224395727737779	134.864851914681	7.41573589524866e-22	0.111784019728762	89.6192374801577	9.63320370819148
"table1"	"garcia-alloza2006"	-0.449645182383148	0.111007858309719	-4.05057073643027	5.10928612236396e-05	-0.667216586671123	-0.232073778095172	132.199253349026	2.49913528175689e-21	0.113992280898344	89.4099250598354	9.44280381064475
"table1"	"seidl2001"	-0.438214871877954	0.112293706055491	-3.90239922851424	9.52438950509278e-05	-0.658306491437245	-0.218123252318664	153.392843201666	1.50437914837557e-25	0.120587695922993	90.8731074359224	10.9566316572619
"table1"	"yew1999"	-0.541753276541394	0.117278616295303	-4.61936961446817	3.84907663304768e-06	-0.771615140636881	-0.311891412445908	157.683100477945	2.07322912617785e-26	0.131614005612049	91.1214328247191	11.2630786055675
"table1"	"sasaki1986"	-0.505349186285709	0.121791069596907	-4.14931232608655	3.33475560320621e-05	-0.744055296334257	-0.266643076237162	166.085597003713	4.22272805252245e-28	0.144292399664379	91.5706116288416	11.8632569288367
"table1"	"perry1984"	-0.492971467096778	0.112622718206498	-4.37719382862787	1.20217059307525e-05	-0.713707938622517	-0.272234995571039	167.621836547462	2.06867883803143e-28	0.130030446146236	91.6478662396496	11.9729883248187
"table1"	"tarbit1980"	-0.483361115932707	0.113262491832856	-4.26761859209327	1.97570745179137e-05	-0.705351520724366	-0.261370711141048	167.446909238247	2.24383726716267e-28	0.130089825650357	91.6391409888131	11.9604935170177
"table1"	"mohanakrishnan1997"	-0.45638437235296	0.111400966890318	-4.0967720935699	4.18950994559883e-05	-0.674726255300923	-0.238042489404998	163.170579547779	1.63315983536103e-27	0.126294975701731	91.4200218943878	11.6550413962699
"table1"	"mohanakrishnan1995"	-0.441595739080141	0.109215972407451	-4.04332561754505	5.26983540573528e-05	-0.655655111535266	-0.227536366625016	157.073209176017	2.74865530393902e-26	0.121053940443711	91.0869587032429	11.2195149411441
"table1"	"cross1984"	-0.482839803398594	0.113993490650697	-4.23567872728915	2.27862376651611e-05	-0.706262939545964	-0.259416667251223	167.238302151513	2.47219204179333e-28	0.130230393583628	91.6287119518133	11.9455930108224
"table1"	"smith1983"	-0.531647499354681	0.119508666318907	-4.44861042910469	8.64276109455943e-06	-0.765880181180153	-0.297414817529209	164.118905385129	1.05198405482722e-27	0.137949939858147	91.4695994546473	11.7227789560806
"table2"	"govindpani2020"	-0.62095764887652	0.287966625401684	-2.15635283432706	0.0310561246209617	-1.18536186341336	-0.0565534343396829	14.8650019719405	0.00498955984216824	0.271840770946545	73.0911572864203	3.71625049298513
"table2"	"schwab2013"	-0.524554337174096	0.223949640314119	-2.3422870268438	0.0191659690062179	-0.963487566540468	-0.0856211078077235	12.5225903355288	0.0138601570089845	0.142031821296953	68.0577269332903	3.13064758388219
"table2"	"gleichmann2012"	-0.665911148811434	0.27206890762528	-2.44758269007567	0.0143818120029856	-1.19915640907014	-0.13266588855273	21.5439660547246	0.000246965813259355	0.262411733438612	81.4333164569631	5.38599151368115
"table2"	"boissière1998"	-0.763793088006208	0.267454998806969	-2.85578168818398	0.00429310214312753	-1.28799525315307	-0.239590922859347	21.9297591202485	0.00020697678829435	0.259302002009104	81.7599455695495	5.48243978006212
"table2"	"perry1981"	-0.643711567752875	0.26916591927596	-2.39150472498309	0.0167794679817353	-1.17126707539937	-0.116156060106377	20.8422485273227	0.000340307949189086	0.253667207946888	80.8082127283135	5.21056213183069
"table2"	"davies1979"	-0.887760202427169	0.175946300613894	-5.04563153263061	4.52025796657611e-07	-1.23260861484346	-0.542911790010879	4.76385678551309	0.312396421623992	0.0261811254071173	16.0344195870031	1.19096419637827
"table3"	"govindpani2020"	-0.469493900978327	0.0939940102899687	-4.99493424666053	5.88558167531372e-07	-0.653718775909153	-0.285269026047501	77.9184088506934	1.02799236211275e-11	0.0853790386568289	84.5992748350466	6.49320073755778
"table3"	"kwakowsky2018"	-0.563945163745069	0.0956670611478081	-5.894872874518	3.74969948131039e-09	-0.751449158101564	-0.376441169388574	73.0364286682828	8.62220443010468e-11	0.0855486653086426	83.569842859511	6.08636905569023
"table3"	"jansen1990"	-0.557863469798052	0.10259588534354	-5.437483851619	5.4038246169861e-08	-0.75894771003339	-0.356779229562713	78.2355459060712	8.94749218735463e-12	0.101451334711695	84.6617034993185	6.51962882550593
"table3"	"cross1986"	-0.49162018919696	0.0978420214690465	-5.0246323799891	5.04397779778064e-07	-0.683387027450886	-0.299853350943034	75.9305024699502	2.44969798604084e-11	0.0904929014442598	84.1960745554805	6.32754187249585
"table3"	"rissman2004"	-0.460208770735926	0.0916312891310197	-5.02239764495611	5.10303936834711e-07	-0.639802797289701	-0.280614744182151	75.1189166583089	3.48881954134721e-11	0.0812022136463234	84.0253287270049	6.25990972152574
"table3"	"howell2000"	-0.534815251601648	0.10222049851596	-5.23197655427346	1.67707026303724e-07	-0.735163747174659	-0.334466756028636	87.9754062280559	1.21593803059965e-13	0.102219343202195	86.3598242798757	7.33128385233799
"table3"	"ohyama1999"	-0.521573829704046	0.101399804382798	-5.14373605431265	2.69327865137742e-07	-0.720313794333736	-0.322833865074356	87.5832072444442	1.44747274203018e-13	0.10062634002314	86.2987433578356	7.29860060370368
"table3"	"soricelli1996"	-0.472089762251184	0.0943660621365522	-5.00274941607765	5.6518386897698e-07	-0.657043845401695	-0.287135679100672	78.9359620713805	6.58311727343557e-12	0.086527636915366	84.7978035801368	6.5779968392817
