"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table3"	"185"	"ohyama1999"	"Brain"	"Whole brain"	"GABA A receptor"	5	4.59	0.75	5	4.21	1.65	NA	-0.45647841781751	0.0304186272966589	-0.798314495700107	-0.114642339934912	20	20	7.26150294937778
"table3"	"193"	"soricelli1996"	"Brain"	"Whole brain"	"GABA A receptor"	5	70.3	11.9	6	58	15.2	NA	-1.20222400652624	0.0823640558424853	-1.76471678765704	-0.639731225395445	35	42	5.1385273907148
"table3"	"166"	"carlson1993"	"Brain"	"Whole brain"	"GABA A receptor"	8	0.1825	0.004242640687119	8	0.23	0.048083261120685	NA	-0.409236813556977	0.0130460865490709	-0.633102854415047	-0.185370772698906	152	152	8.4257056642291
"table3"	"53"	"shimohama1988"	"Brain"	"Whole brain"	"GABA A receptor"	7	1300	285.74	7	903	82.01	NA	-0.727079256329851	0.0290842332392663	-1.06133347742527	-0.392825035234433	48	42	7.33939685056092
"table3"	"210"	"cross1984"	"Brain"	"Whole brain"	"GABA A receptor"	17	154	53.6	13	135	39.66	NA	-0.411167630906436	0.00508009045066754	-0.550863580280928	-0.271471681531943	51	46	9.09427577925618
"table3"	"S11"	"owen1983"	"Brain"	"Whole brain"	"GABA A receptor"	12	204.53	26.74	10	179.98	26.62	NA	-0.884946384235558	0.204776748280092	-1.77187447937835	0.00198171090723209	12	10	3.04241076699877
"table3"	"184"	"meyer1995"	"Brain"	"Whole brain"	"GABA A receptor"	6	2.4	0.6	13	2.2	0.7	NA	-0.057905097242352	0.006498493259905	-0.215904129690286	0.100093935205582	36	78	8.9675761791826
"table3"	"10"	"griffiths1994"	"Brain"	"Whole brain"	"GABA A receptor"	9	80	8	5	76	4	NA	-0.579191876842036	0.023091940761104	-0.877028643416764	-0.281355110267308	36	20	7.71083566829574
"table4"	"239"	"lauterborn2021"	"Brain"	"Whole brain"	"GABA transporters"	7	2.96	0.679	8	1.92	0.531	NA	-1.62068500224498	0.384420527475967	-2.835895118286	-0.405474886203951	7	8	7.08545891750585
"table4"	"238"	"govindpani2020"	"Brain"	"Whole brain"	"GABA transporters"	6	102.87	10.8757344579573	6	110.62	53.0559478286836	NA	0.618834934855076	0.0298454170804342	0.28023496335341	0.957434906356742	24	24	16.0583810647742
"table4"	"99"	"nagga1999"	"Brain"	"Whole brain"	"GABA transporters"	23	1504	449.14	18	1524.26	771.52	NA	-0.0415588291252674	0.00122879210613883	-0.110263663561618	0.027146005311083	69	54	17.886485936631
"table4"	"135"	"simpson1988"	"Brain"	"Whole brain"	"GABA transporters"	8	116	56.56	6	129	154.31	NA	-0.614632324221662	0.0239085557373139	-0.91768963287328	-0.311575015570045	41	33	16.4062567529086
"table4"	"11"	"hardy1987"	"Brain"	"Whole brain"	"GABA transporters"	7	24.31	13.57	8	1.8	3.56	NA	-1.10143544023289	0.0493672390619388	-1.53691473474389	-0.665956145721889	56	64	15.0117145859299
"table4"	"143"	"poirel2018 "	"Brain"	"Whole brain"	"GABA transporters"	63	7	1.58	119	6.41	1.45	NA	-0.392724991775244	0.0247090055703051	-0.700813659854141	-0.0846363236963473	63	119	16.358477164597
"table4"	"229"	"li2017"	"Brain"	"Whole brain"	"GABA transporters"	4	0.995	0.8	4	0.37	0.178	NA	-1.38733423577453	0.151543517609506	-2.15032059373911	-0.624347877809951	8	8	11.1932255776535
