"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table1"	"142"	"zhang2019"	"Brain"	"Cortical region"	"GABA"	11	1.41	0.3	11	1.23	0.27	NA	-0.606704186666816	0.191897102213467	-1.46528721466327	0.251878841329642	11	11	6.90641852825427
"table1"	"15"	"liu2014"	"Brain"	"Cortical region"	"GABA"	12	242.4	50.92	12	266.9	60.96	NA	0.421145343456366	0.171043988059764	-0.389446068204825	1.23173675511756	12	12	7.27641867478791
"table1"	"18"	"gueli2013"	"Brain"	"Cortical region"	"GABA"	13	0.9	0.28	13	0.6	0.16	NA	-1.27396874042017	0.190304043875435	-2.12898052277118	-0.418956958069155	13	13	6.93335174394585
"table1"	"17"	"aisa2010"	"Brain"	"Cortical region"	"GABA"	16	704.39	253.64	19	555.33	139.35	NA	-0.812817348460693	0.0110829088700863	-1.01915333184203	-0.606481365079359	32	38	12.352871041683
"table1"	"130"	"garcia-alloza2006"	"Brain"	"Cortical region"	"GABA"	20	695.68	273.56	21	574.36	119.6	NA	-0.722248896473407	0.0075519819033671	-0.892573960678333	-0.551923832268482	40	42	12.5460790233282
"table1"	"83"	"seidl2001"	"Brain"	"Cortical region"	"GABA"	7	1.4	0.6	8	0.8	0.2	NA	-1.29994290896067	0.0652569569804757	-1.80062435759274	-0.799261460328602	15	16	9.99200105750681
"table1"	"162"	"yew1999"	"Brain"	"Cortical region"	"GABA"	7	25.98	16.48	6	29.08	13.03	NA	0.169671295076139	0.0130120060729471	-0.0539021503592441	0.393244740511521	14	12	12.2498059413696
"table1"	"198"	"sasaki1986"	"Brain"	"Cortical region"	"GABA"	10	13.69	2.8	9	11.1	3.33	NA	-0.612702558584369	0.0154346193791301	-0.856200925638473	-0.369204191530264	70	62	12.1227847726346
"table1"	"129"	"perry1984"	"Brain"	"Cortical region"	"GABA"	4	17.88	7	4	17.73	2.76	NA	-0.0244885853440957	0.500069820241873	-1.41048917045619	1.361511999768	4	4	3.94322879237249
"table1"	"28"	"mohanakrishnan1995"	"Brain"	"Cortical region"	"GABA"	4	1.48	0.14	13	0.79	0.252	NA	-2.79919421948469	0.62228212311091	-4.34530907640337	-1.253079362566	4	13	3.36985423017518
"table1"	"22"	"smith1983"	"Brain"	"Cortical region"	"GABA"	6	60	24	7	65	21	NA	-0.0275799002985568	0.0119340177086265	-0.241692108248321	0.186532307651207	12	14	12.3071861939421
"table2"	"15"	"liu2014"	"Brain"	"Subcortical region"	"GABA"	12	367.15	64.43	12	330.4	62.7	NA	-0.558122033026163	0.174354478827487	-1.37652019444845	0.260276128396121	12	12	9.95847383586997
"table2"	"83"	"seidl2001"	"Brain"	"Subcortical region"	"GABA"	4	3.9	1.3	5	2	0.7	NA	-0.642287258248654	0.0479184956726985	-1.07132913018691	-0.2132453863104	11	13	22.8745885863897
"table2"	"162"	"yew1999"	"Brain"	"Subcortical region"	"GABA"	7	21.2	16.48	6	21.26	7.74	NA	0.00421343801022486	0.309524767016212	-1.08621154633199	1.09463842235244	7	6	6.20985861025536
"table2"	"198"	"sasaki1986"	"Brain"	"Subcortical region"	"GABA"	10	23.7	6.61	8	17.01	5.82	NA	-0.180307984628243	0.00715308248113052	-0.346073698188953	-0.0145422710675326	118	105	39.3153816271105
"table2"	"112"	"tarbit1980"	"Brain"	"Subcortical region"	"GABA"	7	1.15	0.52	8	0.94	0.25	NA	-0.496420186901236	0.278793276040163	-1.53129838717154	0.538458013369064	7	8	6.79104740357402
"table2"	"200"	"mohanakrishnan1997"	"Brain"	"Subcortical region"	"GABA"	4	1.42	0.56	12	0.89	0.18	NA	-1.64588860251701	0.443762736237052	-2.95152878166791	-0.340248423366112	4	12	4.52011249869104
"table2"	"207"	"cross1984"	"Brain"	"Subcortical region"	"GABA"	13	54.8	34.25	12	40	19.74	NA	-0.506485087076109	0.166289813351125	-1.30573190145153	0.292761727299312	13	12	10.3305374381094
"table7"	"238"	"govindpani2020"	"Brain"	"Cortical region"	"GABA A receptor"	6	2202.48	351.685489820095	6	951.12	325.145268457039	NA	-1.20122245970246	0.0740111971261229	-1.73443064233873	-0.668014277066183	96	96	10.5392909143522
"table7"	"96"	"kwakowsky2018"	"Brain"	"Cortical region"	"GABA A receptor"	6	106017241	47722817.1068718	6	5832241	7820735.74973762	NA	-0.332057428263087	0.0184831445415845	-0.598519880840245	-0.0655949756859284	96	96	16.6117591116036
